
BA    1   CR         0   TR  0   CH 16   Text type 3: "General MIDI Authoring Template"
BA    1   CR         0   TR  0   CH 16   Text type 1: "Use this template to create new GM compatiable MIDI files.\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "MIDI file publishers and hardware manufacturers, such as Roland Corp. and Tune 1000 have introduced more detailed conventions for authoring standard MIDI files for GM devices. These conventions are intended to produce consistent, error-free results when \n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "Song Tempo should remain within the range of 30-240bpm\n"
BA   15   CR     2+1/4   TR  0   CH 10   Channel volume 121
BA   15   CR    2+7/24   TR  0   CH 10   Channel volume 120
BA   15   CR     2+3/8   TR  0   CH 10   Channel volume 119
BA   15   CR    2+5/12   TR  0   CH  9   Channel volume 127
BA   15   CR   2+11/24   TR  0   CH  4   Channel volume 126
BA   15   CR   2+11/24   TR  0   CH  4   Channel volume 124
BA   15   CR   2+11/24   TR  0   CH  4   Channel volume 123
BA   15   CR   2+11/24   TR  0   CH 10   Channel volume 118
BA   15   CR     2+1/2   TR  0   CH  2   Channel volume 127
BA   15   CR     2+1/2   TR  0   CH  4   NT  D'            1/4   von=100
BA   15   CR     2+1/2   TR  0   CH  4   NT  B             1/4
BA   15   CR     2+1/2   TR  0   CH  4   NT  F#'           1/4
BA   15   CR     2+1/2   TR  0   CH  6   NT  G'            1/2   von=90
BA   15   CR     2+1/2   TR  0   CH 10   NT  G---          1/2   von=100
BA   15   CR     2+1/2   TR  0   CH 10   NT  B-            1/2
BA   15   CR  2+61/120   TR  0   CH  4   Channel volume 121
BA   15   CR  2+71/120   TR  0   CH  4   Channel volume 120
BA   15   CR   2+19/30   TR  0   CH  4   Channel volume 119
BA   15   CR   2+27/40   TR  0   CH 10   Channel volume 117
BA   15   CR   2+43/60   TR  0   CH  1   Channel volume 126
BA   15   CR   2+43/60   TR  0   CH  4   Channel volume 118
BA   15   CR   2+43/60   TR  0   CH  4   Channel volume 117
BA   15   CR   2+43/60   TR  0   CH 10   Channel volume 116
BA   15   CR     2+3/4   TR  0   CH  4   Channel volume 116
BA   15   CR     2+3/4   TR  0   CH  6   Channel volume 125
BA   15   CR     2+3/4   TR  0   CH  6   Channel volume 124
BA   15   CR   2+19/24   TR  0   CH  4   Channel volume 115
BA   15   CR   2+19/24   TR  0   CH  6   Channel volume 123
BA   15   CR   2+19/24   TR  0   CH  6   Channel volume 122
BA   15   CR     2+5/6   TR  0   CH  1   Channel volume 125
BA   15   CR     2+5/6   TR  0   CH  6   Channel volume 121
BA   15   CR     2+5/6   TR  0   CH  9   Channel volume 126
BA   15   CR     2+5/6   TR  0   CH 10   Channel volume 115
BA   15   CR     2+7/8   TR  0   CH  9   Channel volume 125
BA   15   CR   2+11/12   TR  0   CH  2   Channel volume 125
BA   15   CR   2+11/12   TR  0   CH  4   Channel volume 114
BA   15   CR   2+11/12   TR  0   CH 10   Channel volume 114
BA   15   CR   2+23/24   TR  0   CH  2   Channel volume 123
BA   15   CR   2+23/24   TR  0   CH  4   Channel volume 113
BA   15   CR   2+23/24   TR  0   CH  6   Channel volume 120
BA   15   CR   2+23/24   TR  0   CH  9   Channel volume 124
BA   15   CR         3   TR  0   CH  1   NT  C''           3/4   von=80
BA   15   CR         3   TR  0   CH  2   Channel volume 122
BA   15   CR         3   TR  0   CH  2   Channel volume 121
BA   15   CR         3   TR  0   CH  2   NT  C-            3/4   von=90
BA   15   CR         3   TR  0   CH  6   NT  D'            3/4
BA   15   CR         3   TR  0   CH  6   NT  F#'           1/2
BA   15   CR         3   TR  0   CH  9   NT  C-            3/4   von=100
BA   15   CR         3   TR  0   CH 10   Channel volume 113
BA   15   CR         3   TR  0   CH 10   NT  A             1/2
BA   15   CR         3   TR  0   CH 10   NT  G#--          1/2
BA   15   CR    3+1/12   TR  0   CH  1   Channel volume 124
BA   15   CR    3+1/12   TR  0   CH  1   Channel volume 123
BA   15   CR    3+1/12   TR  0   CH  2   Channel volume 120
BA   15   CR    3+1/12   TR  0   CH  4   Channel volume 112
BA   15   CR    3+1/12   TR  0   CH 10   Channel volume 112
BA   15   CR     3+1/8   TR  0   CH  2   Channel volume 119
BA   15   CR     3+1/8   TR  0   CH  9   Channel volume 123
BA   15   CR     3+1/8   TR  0   CH 10   Channel volume 111
BA   15   CR     3+1/6   TR  0   CH  1   Channel volume 122
BA   15   CR     3+1/6   TR  0   CH  2   Channel volume 118
BA   15   CR     3+1/6   TR  0   CH  4   Channel volume 111
BA   15   CR     3+1/6   TR  0   CH 10   Channel volume 110
BA   15   CR    3+5/24   TR  0   CH  4   Channel volume 110
BA   15   CR    3+5/24   TR  0   CH  6   Channel volume 119
BA   15   CR    3+5/24   TR  0   CH 10   Channel volume 109
BA   15   CR     3+1/4   TR  0   CH  1   Channel volume 121
BA   15   CR     3+1/4   TR  0   CH  2   Channel volume 117
BA   15   CR     3+1/4   TR  0   CH  4   Channel volume 109
BA   15   CR     3+1/4   TR  0   CH  6   Channel volume 118
BA   15   CR     3+1/4   TR  0   CH  9   Channel volume 122
BA   15   CR     3+1/4   TR  0   CH  9   Channel volume 121
BA   15   CR    3+7/24   TR  0   CH  1   Channel volume 120
BA   15   CR    3+7/24   TR  0   CH  1   Channel volume 119
BA   15   CR    3+7/24   TR  0   CH  4   Channel volume 108
BA   15   CR    3+7/24   TR  0   CH  6   Channel volume 117
BA   15   CR    3+7/24   TR  0   CH 10   Channel volume 108
BA   15   CR     3+1/3   TR  0   CH  2   Channel volume 116
BA   15   CR     3+1/3   TR  0   CH 10   Channel volume 107
BA   15   CR     3+3/8   TR  0   CH  1   Channel volume 118
BA   15   CR     3+3/8   TR  0   CH  9   Channel volume 120
BA   15   CR     3+3/8   TR  0   CH 10   Channel volume 106
BA   15   CR     3+2/5   TR  0   CH  4   Channel volume 107
BA   15   CR  3+49/120   TR  0   CH  1   Channel volume 117
BA   15   CR  3+49/120   TR  0   CH  2   Channel volume 115
BA   15   CR    3+9/20   TR  0   CH  2   Channel volume 114
BA   15   CR    3+9/20   TR  0   CH  4   Channel volume 106
BA   15   CR    3+9/20   TR  0   CH  9   Channel volume 119
BA   15   CR    3+9/20   TR  0   CH 10   Channel volume 105
BA   15   CR    3+9/20   TR  0   CH 10   Channel volume 104
BA   15   CR     3+1/2   TR  0   CH  4   NT  D'            1/4
BA   15   CR     3+1/2   TR  0   CH  4   NT  B             1/4
BA   15   CR     3+1/2   TR  0   CH  4   NT  F#'           1/4
BA   15   CR     3+1/2   TR  0   CH  6   NT  G'            1/4   von=90
BA   15   CR     3+1/2   TR  0   CH  9   Channel volume 118
BA   15   CR     3+1/2   TR  0   CH 10   Channel volume 103
BA   15   CR   3+13/24   TR  0   CH  1   Channel volume 116
BA   15   CR   3+13/24   TR  0   CH  6   Channel volume 116
BA   15   CR   3+13/24   TR  0   CH  9   Channel volume 117
BA   15   CR   3+13/24   TR  0   CH 10   Channel volume 102
BA   15   CR    3+7/12   TR  0   CH  1   Channel volume 115
BA   15   CR    3+7/12   TR  0   CH  2   Channel volume 113
BA   15   CR    3+7/12   TR  0   CH  4   Channel volume 105
BA   15   CR    3+7/12   TR  0   CH  6   Channel volume 115
BA   15   CR    3+7/12   TR  0   CH 10   Channel volume 101
BA   15   CR     3+5/8   TR  0   CH  6   Channel volume 114
BA   15   CR     3+5/8   TR  0   CH 10   Channel volume 100
BA   15   CR     3+2/3   TR  0   CH  1   Channel volume 114
BA   15   CR     3+2/3   TR  0   CH  2   Channel volume 112
BA   15   CR     3+2/3   TR  0   CH  4   Channel volume 104
BA   15   CR   3+17/24   TR  0   CH  1   Channel volume 113
BA   15   CR   3+17/24   TR  0   CH  4   Channel volume 103
BA   15   CR   3+17/24   TR  0   CH  4   Channel volume 102
BA   15   CR   3+17/24   TR  0   CH  9   Channel volume 116
BA   15   CR   3+17/24   TR  0   CH 10   Channel volume 99
BA   15   CR     3+3/4   TR  0   CH  2   Channel volume 111
BA   15   CR     3+3/4   TR  0   CH  6   Channel volume 113
BA   15   CR   3+19/24   TR  0   CH  1   Channel volume 112
BA   15   CR   3+19/24   TR  0   CH  2   Channel volume 110
BA   15   CR   3+19/24   TR  0   CH  4   Channel volume 101
BA   15   CR   3+19/24   TR  0   CH  9   Channel volume 115
BA   15   CR   3+19/24   TR  0   CH 10   Channel volume 98
BA   15   CR     3+5/6   TR  0   CH  1   Channel volume 111
BA   15   CR     3+5/6   TR  0   CH  9   Channel volume 114
BA   15   CR     3+5/6   TR  0   CH  9   Channel volume 113
BA   15   CR     3+5/6   TR  0   CH 10   Channel volume 97
BA   15   CR     3+7/8   TR  0   CH  1   Channel volume 110
BA   15   CR     3+7/8   TR  0   CH  2   Channel volume 109
BA   15   CR     3+7/8   TR  0   CH  6   Channel volume 112
BA   15   CR     3+7/8   TR  0   CH  9   Channel volume 112
BA   15   CR   3+11/12   TR  0   CH  1   Channel volume 109
BA   15   CR   3+11/12   TR  0   CH  4   Channel volume 100
BA   15   CR   3+11/12   TR  0   CH  6   Channel volume 111
BA   15   CR   3+11/12   TR  0   CH  9   Channel volume 111
BA   15   CR   3+23/24   TR  0   CH  1   Channel volume 108
BA   15   CR   3+23/24   TR  0   CH  9   Channel volume 110
BA   15   CR   3+23/24   TR  0   CH 10   Channel volume 96

BA   16   CR         0   TR  0   CH  1   Channel volume 107
BA   16   CR         0   TR  0   CH  1   NT  C''             1   von=80
BA   16   CR         0   TR  0   CH  2   Channel volume 108
BA   16   CR         0   TR  0   CH  2   NT  C-              1   von=90
BA   16   CR         0   TR  0   CH  4   Channel volume 99
BA   16   CR         0   TR  0   CH  6   Channel volume 110
BA   16   CR         0   TR  0   CH  6   NT  D'            3/4
BA   16   CR         0   TR  0   CH  6   NT  F#'           1/2
BA   16   CR         0   TR  0   CH  9   Channel volume 109
BA   16   CR         0   TR  0   CH  9   NT  C-              1   von=100
BA   16   CR      1/24   TR  0   CH  1   Channel volume 106
BA   16   CR      1/24   TR  0   CH  4   Channel volume 98
BA   16   CR      1/12   TR  0   CH  2   Channel volume 107
BA   16   CR      1/12   TR  0   CH  2   Channel volume 106
BA   16   CR      1/12   TR  0   CH 10   Channel volume 95
BA   16   CR       1/8   TR  0   CH  6   Channel volume 109
BA   16   CR       1/8   TR  0   CH  9   Channel volume 108
BA   16   CR       1/6   TR  0   CH  4   Channel volume 97
BA   16   CR       1/6   TR  0   CH  6   Channel volume 108
BA   16   CR       1/6   TR  0   CH 10   Channel volume 94
BA   16   CR      5/24   TR  0   CH  2   Channel volume 105
BA   16   CR      5/24   TR  0   CH  4   Channel volume 96
BA   16   CR      5/24   TR  0   CH  9   Channel volume 107
BA   16   CR       1/4   TR  0   CH  1   Channel volume 105
BA   16   CR       1/4   TR  0   CH  1   Channel volume 104
BA   16   CR       1/4   TR  0   CH  6   Channel volume 107
BA   16   CR      7/24   TR  0   CH  2   Channel volume 104
BA   16   CR      7/24   TR  0   CH  9   Channel volume 106
BA   16   CR      7/24   TR  0   CH 10   Channel volume 93
BA   16   CR    37/120   TR  0   CH  2   Channel volume 103
BA   16   CR    37/120   TR  0   CH  6   Channel volume 106
BA   16   CR    37/120   TR  0   CH 10   Channel volume 92
BA   16   CR      7/20   TR  0   CH  1   Channel volume 103
BA   16   CR    47/120   TR  0   CH  1   Channel volume 102
BA   16   CR    47/120   TR  0   CH  2   Channel volume 102
BA   16   CR    47/120   TR  0   CH  4   Channel volume 95
BA   16   CR     13/30   TR  0   CH  1   Channel volume 101
BA   16   CR     13/30   TR  0   CH  2   Channel volume 101
BA   16   CR     19/40   TR  0   CH  4   Channel volume 94
BA   16   CR     19/40   TR  0   CH  9   Channel volume 105
BA   16   CR     19/40   TR  0   CH 10   Channel volume 91
BA   16   CR       1/2   TR  0   CH  1   Channel volume 100
BA   16   CR       1/2   TR  0   CH  1   Channel volume 99
BA   16   CR       1/2   TR  0   CH  2   Channel volume 100
BA   16   CR       1/2   TR  0   CH  2   Channel volume 99
BA   16   CR       1/2   TR  0   CH  4   NT  D'            1/4
BA   16   CR       1/2   TR  0   CH  4   NT  B             1/4
BA   16   CR       1/2   TR  0   CH  4   NT  F#'           1/4
BA   16   CR       1/2   TR  0   CH  6   NT  G'            1/4   von=90
BA   16   CR       1/2   TR  0   CH 10   NT  G#--          1/2   von=100
BA   16   CR     13/24   TR  0   CH  1   Channel volume 98
BA   16   CR     13/24   TR  0   CH  2   Channel volume 98
BA   16   CR     13/24   TR  0   CH  6   Channel volume 105
BA   16   CR     13/24   TR  0   CH  9   Channel volume 104
BA   16   CR     13/24   TR  0   CH 10   Channel volume 90
BA   16   CR      7/12   TR  0   CH  1   Channel volume 97
BA   16   CR      7/12   TR  0   CH  2   Channel volume 97
BA   16   CR      7/12   TR  0   CH  4   Channel volume 93
BA   16   CR      7/12   TR  0   CH  9   Channel volume 103
BA   16   CR      7/12   TR  0   CH  9   Channel volume 102
BA   16   CR       5/8   TR  0   CH  1   Channel volume 96
BA   16   CR       5/8   TR  0   CH  9   Channel volume 101
BA   16   CR       2/3   TR  0   CH  1   Channel volume 95
BA   16   CR       2/3   TR  0   CH  1   Channel volume 94
BA   16   CR       2/3   TR  0   CH  2   Channel volume 96
BA   16   CR       2/3   TR  0   CH  9   Channel volume 100
BA   16   CR       2/3   TR  0   CH 10   Channel volume 89
BA   16   CR       2/3   TR  0   CH 10   Channel volume 88
BA   16   CR     17/24   TR  0   CH  1   Channel volume 93
BA   16   CR     17/24   TR  0   CH  2   Channel volume 95
BA   16   CR     17/24   TR  0   CH  6   Channel volume 104
BA   16   CR       3/4   TR  0   CH  1   Channel volume 92
BA   16   CR       3/4   TR  0   CH  2   Channel volume 94
BA   16   CR       3/4   TR  0   CH  6   Channel volume 103
BA   16   CR       3/4   TR  0   CH  9   Channel volume 99
BA   16   CR       3/4   TR  0   CH 10   Channel volume 87
BA   16   CR     19/24   TR  0   CH  1   Channel volume 91
BA   16   CR     19/24   TR  0   CH 10   Channel volume 86
BA   16   CR       5/6   TR  0   CH  1   Channel volume 90
BA   16   CR       5/6   TR  0   CH  2   Channel volume 93
BA   16   CR       5/6   TR  0   CH  4   Channel volume 92
BA   16   CR       7/8   TR  0   CH  6   Channel volume 102
BA   16   CR       7/8   TR  0   CH  9   Channel volume 98
BA   16   CR       7/8   TR  0   CH 10   Channel volume 85
BA   16   CR     11/12   TR  0   CH  1   Channel volume 89
BA   16   CR     11/12   TR  0   CH  4   Channel volume 91
BA   16   CR     11/12   TR  0   CH 10   Channel volume 84
BA   16   CR     23/24   TR  0   CH  1   Channel volume 88
BA   16   CR     23/24   TR  0   CH  2   Channel volume 92
BA   16   CR     23/24   TR  0   CH  9   Channel volume 97
BA   16   CR         1   TR  0   CH  1   Channel volume 87
BA   16   CR         1   TR  0   CH  2   Channel volume 91
BA   16   CR         1   TR  0   CH  4   Channel volume 90
BA   16   CR         1   TR  0   CH  4   Channel volume 89
BA   16   CR         1   TR  0   CH  4   NT  D'            1/4
BA   16   CR         1   TR  0   CH  4   NT  B             1/4
BA   16   CR         1   TR  0   CH  4   NT  F#'           1/4
BA   16   CR         1   TR  0   CH  6   Channel volume 101
BA   16   CR         1   TR  0   CH  6   NT  G'            1/2   von=90
BA   16   CR         1   TR  0   CH 10   Channel volume 83
BA   16   CR         1   TR  0   CH 10   NT  B-            1/2   von=100
BA   16   CR         1   TR  0   CH 10   NT  G---          1/2
BA   16   CR    1+1/24   TR  0   CH  1   Channel volume 86
BA   16   CR    1+1/24   TR  0   CH  2   Channel volume 90
BA   16   CR    1+1/24   TR  0   CH  9   Channel volume 96
BA   16   CR    1+1/24   TR  0   CH 10   Channel volume 82
BA   16   CR    1+1/12   TR  0   CH  1   Channel volume 85
BA   16   CR    1+1/12   TR  0   CH  6   Channel volume 100
BA   16   CR    1+1/12   TR  0   CH  9   Channel volume 95
BA   16   CR    1+1/12   TR  0   CH 10   Channel volume 81
BA   16   CR     1+1/8   TR  0   CH  4   Channel volume 88
BA   16   CR     1+1/6   TR  0   CH  1   Channel volume 84
BA   16   CR     1+1/6   TR  0   CH  6   Channel volume 99
BA   16   CR     1+1/6   TR  0   CH  9   Channel volume 94
BA   16   CR     1+1/6   TR  0   CH 10   Channel volume 80
BA   16   CR     1+1/5   TR  0   CH  9   Channel volume 93
BA   16   CR    1+5/24   TR  0   CH  1   Channel volume 83
BA   16   CR    1+5/24   TR  0   CH  2   Channel volume 89
BA   16   CR    1+5/24   TR  0   CH  6   Channel volume 98
BA   16   CR    1+5/24   TR  0   CH 10   Channel volume 79
BA   16   CR     1+1/4   TR  0   CH  1   Channel volume 82
BA   16   CR     1+1/4   TR  0   CH  4   Channel volume 87
BA   16   CR     1+1/4   TR  0   CH  9   Channel volume 92
BA   16   CR    1+7/24   TR  0   CH  1   Channel volume 81
BA   16   CR    1+7/24   TR  0   CH  2   Channel volume 88
BA   16   CR    1+7/24   TR  0   CH  2   Channel volume 87
BA   16   CR    1+7/24   TR  0   CH  4   Channel volume 86
BA   16   CR    1+7/24   TR  0   CH 10   Channel volume 78
BA   16   CR     1+1/3   TR  0   CH  4   Channel volume 85
BA   16   CR     1+1/3   TR  0   CH  6   Channel volume 97
BA   16   CR     1+1/3   TR  0   CH  9   Channel volume 91
BA   16   CR     1+3/8   TR  0   CH  1   Channel volume 80
BA   16   CR     1+3/8   TR  0   CH  2   Channel volume 86
BA   16   CR     1+3/8   TR  0   CH  4   Channel volume 84
BA   16   CR     1+3/8   TR  0   CH  9   Channel volume 90
BA   16   CR     1+3/8   TR  0   CH  9   Channel volume 89
BA   16   CR    1+5/12   TR  0   CH  1   Channel volume 79
BA   16   CR    1+5/12   TR  0   CH  2   Channel volume 85
BA   16   CR    1+5/12   TR  0   CH 10   Channel volume 77
BA   16   CR   1+11/24   TR  0   CH  1   Channel volume 78
BA   16   CR   1+11/24   TR  0   CH  2   Channel volume 84
BA   16   CR   1+11/24   TR  0   CH  4   Channel volume 83
BA   16   CR   1+11/24   TR  0   CH  6   Channel volume 96
BA   16   CR   1+11/24   TR  0   CH  9   Channel volume 88
BA   16   CR     1+1/2   TR  0   CH  1   NT  G'              1   von=80
BA   16   CR     1+1/2   TR  0   CH  2   Channel volume 83
BA   16   CR     1+1/2   TR  0   CH  2   NT  G--             1   von=90
BA   16   CR     1+1/2   TR  0   CH  4   Channel volume 82
BA   16   CR     1+1/2   TR  0   CH  6   Channel volume 95
BA   16   CR     1+1/2   TR  0   CH  6   NT  D'            3/4
BA   16   CR     1+1/2   TR  0   CH  6   NT  F#'           1/2
BA   16   CR     1+1/2   TR  0   CH  9   NT  G--             1   von=100
BA   16   CR     1+1/2   TR  0   CH 10   NT  G#--          1/2
BA   16   CR   1+13/24   TR  0   CH  1   Channel volume 77
BA   16   CR   1+13/24   TR  0   CH  2   Channel volume 82
BA   16   CR   1+13/24   TR  0   CH  4   Channel volume 81
BA   16   CR   1+13/24   TR  0   CH 10   Channel volume 76
BA   16   CR   1+13/24   TR  0   CH 10   Channel volume 75
BA   16   CR    1+7/12   TR  0   CH  2   Channel volume 81
BA   16   CR    1+7/12   TR  0   CH  2   Channel volume 80
BA   16   CR    1+7/12   TR  0   CH  6   Channel volume 94
BA   16   CR    1+7/12   TR  0   CH  9   Channel volume 87
BA   16   CR     1+5/8   TR  0   CH  6   Channel volume 93
BA   16   CR     1+2/3   TR  0   CH  1   Channel volume 76
BA   16   CR     1+2/3   TR  0   CH  2   Channel volume 79
BA   16   CR     1+2/3   TR  0   CH  2   Channel volume 78
BA   16   CR     1+2/3   TR  0   CH  6   Channel volume 92
BA   16   CR     1+2/3   TR  0   CH  9   Channel volume 86
BA   16   CR     1+2/3   TR  0   CH 10   Channel volume 74
BA   16   CR   1+17/24   TR  0   CH  1   Channel volume 75
BA   16   CR   1+17/24   TR  0   CH  2   Channel volume 77
BA   16   CR   1+17/24   TR  0   CH  4   Channel volume 80
BA   16   CR   1+17/24   TR  0   CH  6   Channel volume 91
BA   16   CR   1+17/24   TR  0   CH  9   Channel volume 85
BA   16   CR     1+3/4   TR  0   CH  1   Channel volume 74
BA   16   CR     1+3/4   TR  0   CH  2   Channel volume 76
BA   16   CR     1+3/4   TR  0   CH 10   Channel volume 73
BA   16   CR   1+19/24   TR  0   CH  2   Channel volume 75
BA   16   CR   1+19/24   TR  0   CH  4   Channel volume 79
BA   16   CR   1+19/24   TR  0   CH  6   Channel volume 90
BA   16   CR     1+5/6   TR  0   CH  1   Channel volume 73
BA   16   CR     1+5/6   TR  0   CH  2   Channel volume 74
BA   16   CR     1+5/6   TR  0   CH  9   Channel volume 84
BA   16   CR     1+5/6   TR  0   CH 10   Channel volume 72
BA   16   CR     1+7/8   TR  0   CH  2   Channel volume 73
BA   16   CR     1+7/8   TR  0   CH  4   Channel volume 78
BA   16   CR     1+7/8   TR  0   CH  6   Channel volume 89
BA   16   CR   1+11/12   TR  0   CH  1   Channel volume 72
BA   16   CR   1+11/12   TR  0   CH  1   Channel volume 71
BA   16   CR   1+11/12   TR  0   CH  6   Channel volume 88
BA   16   CR   1+11/12   TR  0   CH  9   Channel volume 83
BA   16   CR   1+11/12   TR  0   CH 10   Channel volume 71
BA   16   CR   1+23/24   TR  0   CH  1   Channel volume 70
BA   16   CR   1+23/24   TR  0   CH  4   Channel volume 77
BA   16   CR   1+23/24   TR  0   CH  9   Channel volume 82
BA   16   CR         2   TR  0   CH  4   Channel volume 76
BA   16   CR         2   TR  0   CH  4   NT  D'            1/4
BA   16   CR         2   TR  0   CH  4   NT  B             1/4
BA   16   CR         2   TR  0   CH  4   NT  F#'           1/4
BA   16   CR         2   TR  0   CH  6   NT  G'            1/4   von=90
BA   16   CR         2   TR  0   CH  9   Channel volume 81
BA   16   CR         2   TR  0   CH  9   Channel volume 80
BA   16   CR    2+1/24   TR  0   CH  1   Channel volume 69
BA   16   CR    2+1/24   TR  0   CH  2   Channel volume 72
BA   16   CR    2+1/24   TR  0   CH 10   Channel volume 70
BA   16   CR    2+1/12   TR  0   CH  1   Channel volume 68
BA   16   CR    2+1/12   TR  0   CH  4   Channel volume 75
BA   16   CR  2+13/120   TR  0   CH  1   Channel volume 67
BA   16   CR  2+13/120   TR  0   CH  1   Channel volume 66
BA   16   CR  2+13/120   TR  0   CH  6   Channel volume 87
BA   16   CR  2+13/120   TR  0   CH  9   Channel volume 79
BA   16   CR    2+3/20   TR  0   CH  1   Channel volume 65
BA   16   CR    2+3/20   TR  0   CH  2   Channel volume 71
BA   16   CR    2+3/20   TR  0   CH  2   Channel volume 70
BA   16   CR    2+3/20   TR  0   CH 10   Channel volume 69
BA   16   CR  2+23/120   TR  0   CH  2   Channel volume 69
BA   16   CR  2+23/120   TR  0   CH  9   Channel volume 78
BA   16   CR  2+23/120   TR  0   CH  9   Channel volume 77
BA   16   CR    2+7/30   TR  0   CH  1   Channel volume 64
BA   16   CR    2+7/30   TR  0   CH  4   Channel volume 74
BA   16   CR    2+7/30   TR  0   CH 10   Channel volume 68
BA   16   CR     2+1/4   TR  0   CH  6   Channel volume 86
BA   16   CR     2+1/4   TR  0   CH  9   Channel volume 76
BA   16   CR    2+7/24   TR  0   CH  1   Channel volume 63
BA   16   CR    2+7/24   TR  0   CH  4   Channel volume 73
BA   16   CR    2+7/24   TR  0   CH  6   Channel volume 85
BA   16   CR    2+7/24   TR  0   CH 10   Channel volume 67
BA   16   CR     2+1/3   TR  0   CH  2   Channel volume 68
BA   16   CR     2+1/3   TR  0   CH  6   Channel volume 84
BA   16   CR     2+1/3   TR  0   CH  9   Channel volume 75
BA   16   CR     2+1/3   TR  0   CH 10   Channel volume 66
BA   16   CR     2+3/8   TR  0   CH  4   Channel volume 72
BA   16   CR     2+3/8   TR  0   CH  6   Channel volume 83
BA   16   CR     2+3/8   TR  0   CH 10   Channel volume 65
BA   16   CR    2+5/12   TR  0   CH  1   Channel volume 62
BA   16   CR    2+5/12   TR  0   CH  2   Channel volume 67
BA   16   CR    2+5/12   TR  0   CH  6   Channel volume 82
BA   16   CR   2+11/24   TR  0   CH  2   Channel volume 66
BA   16   CR   2+11/24   TR  0   CH  6   Channel volume 81
BA   16   CR   2+11/24   TR  0   CH 10   Channel volume 64
BA   16   CR     2+1/2   TR  0   CH  4   Channel volume 71
BA   16   CR     2+1/2   TR  0   CH  4   NT  D'            1/4   von=100
BA   16   CR     2+1/2   TR  0   CH  4   NT  B             1/4
BA   16   CR     2+1/2   TR  0   CH  4   NT  F#'           1/4
BA   16   CR     2+1/2   TR  0   CH  6   NT  G'            1/2   von=90
BA   16   CR     2+1/2   TR  0   CH 10   NT  G---          1/2   von=100
BA   16   CR     2+1/2   TR  0   CH 10   NT  B-            1/2
BA   16   CR   2+13/24   TR  0   CH  1   Channel volume 61
BA   16   CR   2+13/24   TR  0   CH  2   Channel volume 65
BA   16   CR   2+13/24   TR  0   CH  6   Channel volume 80
BA   16   CR   2+13/24   TR  0   CH  9   Channel volume 74
BA   16   CR   2+13/24   TR  0   CH  9   Channel volume 73
BA   16   CR   2+13/24   TR  0   CH 10   Channel volume 63
BA   16   CR    2+7/12   TR  0   CH  4   Channel volume 70
BA   16   CR    2+7/12   TR  0   CH 10   Channel volume 62
BA   16   CR     2+5/8   TR  0   CH  1   Channel volume 60
BA   16   CR     2+5/8   TR  0   CH  2   Channel volume 64
BA   16   CR     2+5/8   TR  0   CH  4   Channel volume 69
BA   16   CR     2+5/8   TR  0   CH  6   Channel volume 79
BA   16   CR     2+5/8   TR  0   CH  9   Channel volume 72
BA   16   CR     2+2/3   TR  0   CH  1   Channel volume 59
BA   16   CR     2+2/3   TR  0   CH  6   Channel volume 78
BA   16   CR     2+2/3   TR  0   CH  9   Channel volume 71
BA   16   CR     2+2/3   TR  0   CH 10   Channel volume 61
BA   16   CR     2+2/3   TR  0   CH 10   Channel volume 60
BA   16   CR   2+17/24   TR  0   CH  2   Channel volume 63
BA   16   CR   2+17/24   TR  0   CH  4   Channel volume 68
BA   16   CR   2+17/24   TR  0   CH  9   Channel volume 70
BA   16   CR   2+17/24   TR  0   CH 10   Channel volume 59
BA   16   CR     2+3/4   TR  0   CH  2   Channel volume 62
BA   16   CR     2+3/4   TR  0   CH  6   Channel volume 77
BA   16   CR     2+3/4   TR  0   CH  9   Channel volume 69
BA   16   CR   2+19/24   TR  0   CH  1   Channel volume 58
BA   16   CR   2+19/24   TR  0   CH  4   Channel volume 67
BA   16   CR   2+19/24   TR  0   CH  6   Channel volume 76
BA   16   CR   2+19/24   TR  0   CH 10   Channel volume 58
BA   16   CR     2+5/6   TR  0   CH  4   Channel volume 66
BA   16   CR     2+5/6   TR  0   CH  4   Channel volume 65
BA   16   CR     2+5/6   TR  0   CH  9   Channel volume 68
BA   16   CR     2+7/8   TR  0   CH  1   Channel volume 57
BA   16   CR     2+7/8   TR  0   CH  2   Channel volume 61
BA   16   CR     2+7/8   TR  0   CH  4   Channel volume 64
BA   16   CR     2+7/8   TR  0   CH  9   Channel volume 67
BA   16   CR   2+11/12   TR  0   CH  1   Channel volume 56
BA   16   CR   2+11/12   TR  0   CH 10   Channel volume 57
BA   16   CR   2+23/24   TR  0   CH  1   Channel volume 55
BA   16   CR   2+23/24   TR  0   CH  2   Channel volume 60
BA   16   CR   2+23/24   TR  0   CH  2   Channel volume 59
BA   16   CR   2+23/24   TR  0   CH  4   Channel volume 63
BA   16   CR   2+23/24   TR  0   CH  6   Channel volume 75
BA   16   CR   2+23/24   TR  0   CH  6   Channel volume 74
BA   16   CR   2+23/24   TR  0   CH  9   Channel volume 66
BA   16   CR   2+23/24   TR  0   CH  9   Channel volume 65
BA   16   CR         3   TR  0   CH  1   NT  C''           3/4   von=80
BA   16   CR         3   TR  0   CH  2   NT  C-            3/4   von=90
BA   16   CR         3   TR  0   CH  6   NT  D'            3/4
